contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
unsw_zero: enscal-2000 vs naive-2000,1.0,sensitivity,0.4635,0.6633,True
ton_zero: enscal-2000 vs naive-2000,0.5,primary,-0.2174,0.1883,True
ton_zero: enscal-2000 vs naive-2000,0.2,sensitivity,-0.2174,0.1883,False
ton_zero: enscal-2000 vs naive-2000,1.0,sensitivity,-0.2174,0.1883,True
ps_full: enscal-2000 vs naive-2000,0.5,primary,-0.8651,-0.0867,False
ps_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.8651,-0.0867,False
ps_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.8651,-0.0867,True
unsw_full: enscal-2000 vs naive-2000,0.5,primary,-0.7839,-0.5471,False
unsw_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.7839,-0.5471,False
unsw_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.7839,-0.5471,True
ton_full: enscal-2000 vs naive-2000,0.5,primary,-0.1948,0.0398,True
ton_full: enscal-2000 vs naive-2000,0.2,sensitivity,-0.1948,0.0398,True
ton_full: enscal-2000 vs naive-2000,1.0,sensitivity,-0.1948,0.0398,True
ps_zero: replay-2000 vs naive-2000,0.5,primary,-0.2182,0.0521,True
ps_zero: replay-2000 vs naive-2000,0.2,sensitivity,-0.2182,0.0521,False
ps_zero: replay-2000 vs naive-2000,1.0,sensitivity,-0.2182,0.0521,True
unsw_zero: replay-2000 vs naive-2000,0.5,primary,0.0156,0.2531,True
unsw_zero: replay-2000 vs naive-2000,0.2,sensitivity,0.0156,0.2531,False
unsw_zero: replay-2000 vs naive-2000,1.0,sensitivity,0.0156,0.2531,True
ton_zero: replay-2000 vs naive-2000,0.5,primary,-0.2133,0.4091,True
ton_zero: replay-2000 vs naive-2000,0.2,sensitivity,-0.2133,0.4091,False
ton_zero: replay-2000 vs naive-2000,1.0,sensitivity,-0.2133,0.4091,True
ps_full: replay-2000 vs naive-2000,0.5,primary,-0.3565,-0.0589,True
ps_full: replay-2000 vs naive-2000,0.2,sensitivity,-0.3565,-0.0589,False
ps_full: replay-2000 vs naive-2000,1.0,sensitivity,-0.3565,-0.0589,True
unsw_full: replay-2000 vs naive-2000,0.5,primary,-2.7185,-2.2937,False
unsw_full: replay-2000 vs naive-2000,0.2,sensitivity,-2.7185,-2.2937,False
unsw_full: replay-2000 vs naive-2000,1.0,sensitivity,-2.7185,-2.2937,False
ton_full: replay-2000 vs naive-2000,0.5,primary,-0.4695,-0.1286,True
ton_full: replay-2000 vs naive-2000,0.2,sensitivity,-0.4695,-0.1286,False
ton_full: replay-2000 vs naive-2000,1.0,sensitivity,-0.4695,-0.1286,True
ps_zero: ddm-2000 vs naive-2000,0.5,primary,-0.1057,0.3544,True
ps_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.1057,0.3544,False
ps_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.1057,0.3544,True
unsw_zero: ddm-2000 vs naive-2000,0.5,primary,-0.0789,0.1471,True
unsw_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.0789,0.1471,True
unsw_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.0789,0.1471,True
ton_zero: ddm-2000 vs naive-2000,0.5,primary,-0.0638,0.6266,False
ton_zero: ddm-2000 vs naive-2000,0.2,sensitivity,-0.0638,0.6266,False
ton_zero: ddm-2000 vs naive-2000,1.0,sensitivity,-0.0638,0.6266,True
ps_full: ddm-2000 vs naive-2000,0.5,primary,-0.2221,0.5083,False
ps_full: ddm-2000 vs naive-2000,0.2,sensitivity,-0.2221,0.5083,False
ps_full: ddm-2000 vs naive-2000,1.0,sensitivity,-0.2221,0.5083,True
unsw_full: ddm-2000 vs naive-2000,0.5,primary,-3.3779,-2.4839,False
unsw_full: ddm-2000 vs naive-2000,0.2,sensitivity,-3.3779,-2.4839,False
unsw_full: ddm-2000 vs naive-2000,1.0,sensitivity,-3.3779,-2.4839,False
ton_full: ddm-2000 vs naive-2000,0.5,primary,-0.2076,0.5911,False
ton_full: ddm-2000 vs naive-2000,0.2,sensitivity,-0.2076,0.5911,False
ton_full: ddm-2000 vs naive-2000,1.0,sensitivity,-0.2076,0.5911,True
ps_zero: adwin-2000 vs naive-2000,0.5,primary,-0.0815,0.7495,False
ps_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.0815,0.7495,False
ps_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.0815,0.7495,True
unsw_zero: adwin-2000 vs naive-2000,0.5,primary,-0.0641,0.1909,True
unsw_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.0641,0.1909,True
unsw_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.0641,0.1909,True
ton_zero: adwin-2000 vs naive-2000,0.5,primary,-0.2893,0.294,True
ton_zero: adwin-2000 vs naive-2000,0.2,sensitivity,-0.2893,0.294,False
ton_zero: adwin-2000 vs naive-2000,1.0,sensitivity,-0.2893,0.294,True
ps_full: adwin-2000 vs naive-2000,0.5,primary,-8.6495,-6.032,False
ps_full: adwin-2000 vs naive-2000,0.2,sensitivity,-8.6495,-6.032,False
ps_full: adwin-2000 vs naive-2000,1.0,sensitivity,-8.6495,-6.032,False
unsw_full: adwin-2000 vs naive-2000,0.5,primary,-4.1503,-3.6672,False
unsw_full: adwin-2000 vs naive-2000,0.2,sensitivity,-4.1503,-3.6672,False
unsw_full: adwin-2000 vs naive-2000,1.0,sensitivity,-4.1503,-3.6672,False
ton_full: adwin-2000 vs naive-2000,0.5,primary,-4.7701,-1.4695,False
ton_full: adwin-2000 vs naive-2000,0.2,sensitivity,-4.7701,-1.4695,False
ton_full: adwin-2000 vs naive-2000,1.0,sensitivity,-4.7701,-1.4695,False
ps_full: atc-2000 vs point-2000,0.5,primary,-2.5286,-0.6922,False
ps_full: atc-2000 vs point-2000,0.2,sensitivity,-2.5286,-0.6922,False
ps_full: atc-2000 vs point-2000,1.0,sensitivity,-2.5286,-0.6922,False
unsw_full: atc-2000 vs point-2000,0.5,primary,-0.4263,0.0188,True
unsw_full: atc-2000 vs point-2000,0.2,sensitivity,-0.4263,0.0188,False
unsw_full: atc-2000 vs point-2000,1.0,sensitivity,-0.4263,0.0188,True
ton_full: atc-2000 vs point-2000,0.5,primary,-0.1878,-0.019,True
ton_full: atc-2000 vs point-2000,0.2,sensitivity,-0.1878,-0.019,True
ton_full: atc-2000 vs point-2000,1.0,sensitivity,-0.1878,-0.019,True
ps_zero: atc-2000 vs point-2000,0.5,primary,-0.2654,0.0552,True
ps_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.2654,0.0552,False
ps_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.2654,0.0552,True
unsw_zero: atc-2000 vs point-2000,0.5,primary,-0.0716,0.1268,True
unsw_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.0716,0.1268,True
unsw_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.0716,0.1268,True
ton_zero: atc-2000 vs point-2000,0.5,primary,-0.3042,0.0784,True
ton_zero: atc-2000 vs point-2000,0.2,sensitivity,-0.3042,0.0784,False
ton_zero: atc-2000 vs point-2000,1.0,sensitivity,-0.3042,0.0784,True
ps_full: doc-2000 vs point-2000,0.5,primary,-3.5573,-1.3661,False
ps_full: doc-2000 vs point-2000,0.2,sensitivity,-3.5573,-1.3661,False
ps_full: doc-2000 vs point-2000,1.0,sensitivity,-3.5573,-1.3661,False
unsw_full: doc-2000 vs point-2000,0.5,primary,-0.9852,-0.4505,False
unsw_full: doc-2000 vs point-2000,0.2,sensitivity,-0.9852,-0.4505,False
unsw_full: doc-2000 vs point-2000,1.0,sensitivity,-0.9852,-0.4505,True
ton_full: doc-2000 vs point-2000,0.5,primary,-0.1589,0.0497,True
ton_full: doc-2000 vs point-2000,0.2,sensitivity,-0.1589,0.0497,True
ton_full: doc-2000 vs point-2000,1.0,sensitivity,-0.1589,0.0497,True
ps_zero: doc-2000 vs point-2000,0.5,primary,-0.2758,0.0174,True
ps_zero: doc-2000 vs point-2000,0.2,sensitivity,-0.2758,0.0174,False
ps_zero: doc-2000 vs point-2000,1.0,sensitivity,-0.2758,0.0174,True
unsw_zero: doc-2000 vs point-2000,0.5,primary,-0.0362,0.1857,True
unsw_zero: doc-2000 vs point-2000,0.2,sensitivity,-0.0362,0.1857,True
unsw_zero: doc-2000 vs point-2000,1.0,sensitivity,-0.0362,0.1857,True
ton_zero: doc-2000 vs point-2000,0.5,primary,-0.2818,0.126,True
ton_zero: doc-2000 vs point-2000,0.2,sensitivity,-0.2818,0.126,False
ton_zero: doc-2000 vs point-2000,1.0,sensitivity,-0.2818,0.126,True
ps_full: atc-512 vs naive-512,0.5,primary,-3.0487,-1.1542,False
ps_full: atc-512 vs naive-512,0.2,sensitivity,-3.0487,-1.1542,False
ps_full: atc-512 vs naive-512,1.0,sensitivity,-3.0487,-1.1542,False
unsw_full: atc-512 vs naive-512,0.5,primary,-0.3734,0.1221,True
unsw_full: atc-512 vs naive-512,0.2,sensitivity,-0.3734,0.1221,False
unsw_full: atc-512 vs naive-512,1.0,sensitivity,-0.3734,0.1221,True
ton_full: atc-512 vs naive-512,0.5,primary,-0.1945,0.0719,True
ton_full: atc-512 vs naive-512,0.2,sensitivity,-0.1945,0.0719,True
ton_full: atc-512 vs naive-512,1.0,sensitivity,-0.1945,0.0719,True
ps_zero: atc-512 vs naive-512,0.5,primary,0.2794,0.8341,False
ps_zero: atc-512 vs naive-512,0.2,sensitivity,0.2794,0.8341,False
ps_zero: atc-512 vs naive-512,1.0,sensitivity,0.2794,0.8341,True
unsw_zero: atc-512 vs naive-512,0.5,primary,0.7206,1.4164,False
unsw_zero: atc-512 vs naive-512,0.2,sensitivity,0.7206,1.4164,False
unsw_zero: atc-512 vs naive-512,1.0,sensitivity,0.7206,1.4164,False
ton_zero: atc-512 vs naive-512,0.5,primary,-0.5565,-0.0706,False
ton_zero: atc-512 vs naive-512,0.2,sensitivity,-0.5565,-0.0706,False
ton_zero: atc-512 vs naive-512,1.0,sensitivity,-0.5565,-0.0706,True
ps_full: doc-512 vs naive-512,0.5,primary,-4.4086,-2.3492,False
ps_full: doc-512 vs naive-512,0.2,sensitivity,-4.4086,-2.3492,False
ps_full: doc-512 vs naive-512,1.0,sensitivity,-4.4086,-2.3492,False
unsw_full: doc-512 vs naive-512,0.5,primary,-1.2016,-0.5203,False
unsw_full: doc-512 vs naive-512,0.2,sensitivity,-1.2016,-0.5203,False
unsw_full: doc-512 vs naive-512,1.0,sensitivity,-1.2016,-0.5203,False
ton_full: doc-512 vs naive-512,0.5,primary,-0.1591,0.2625,True
ton_full: doc-512 vs naive-512,0.2,sensitivity,-0.1591,0.2625,False
ton_full: doc-512 vs naive-512,1.0,sensitivity,-0.1591,0.2625,True
ps_zero: doc-512 vs naive-512,0.5,primary,0.5094,1.432,False
ps_zero: doc-512 vs naive-512,0.2,sensitivity,0.5094,1.432,False
ps_zero: doc-512 vs naive-512,1.0,sensitivity,0.5094,1.432,False
unsw_zero: doc-512 vs naive-512,0.5,primary,0.9531,1.6091,False
unsw_zero: doc-512 vs naive-512,0.2,sensitivity,0.9531,1.6091,False
unsw_zero: doc-512 vs naive-512,1.0,sensitivity,0.9531,1.6091,False
ton_zero: doc-512 vs naive-512,0.5,primary,-0.531,-0.024,False
ton_zero: doc-512 vs naive-512,0.2,sensitivity,-0.531,-0.024,False
ton_zero: doc-512 vs naive-512,1.0,sensitivity,-0.531,-0.024,True
ps_full: enscal-512 vs naive-512,0.5,primary,-1.2552,-0.2289,False
ps_full: enscal-512 vs naive-512,0.2,sensitivity,-1.2552,-0.2289,False
ps_full: enscal-512 vs naive-512,1.0,sensitivity,-1.2552,-0.2289,False
unsw_full: enscal-512 vs naive-512,0.5,primary,0.0422,0.2859,True
unsw_full: enscal-512 vs naive-512,0.2,sensitivity,0.0422,0.2859,False
unsw_full: enscal-512 vs naive-512,1.0,sensitivity,0.0422,0.2859,True
ton_full: enscal-512 vs naive-512,0.5,primary,-0.0156,0.2711,True
ton_full: enscal-512 vs naive-512,0.2,sensitivity,-0.0156,0.2711,False
ton_full: enscal-512 vs naive-512,1.0,sensitivity,-0.0156,0.2711,True
ps_zero: enscal-512 vs naive-512,0.5,primary,0.7169,1.5076,False
ps_zero: enscal-512 vs naive-512,0.2,sensitivity,0.7169,1.5076,False
ps_zero: enscal-512 vs naive-512,1.0,sensitivity,0.7169,1.5076,False
unsw_zero: enscal-512 vs naive-512,0.5,primary,1.2117,1.8708,False
unsw_zero: enscal-512 vs naive-512,0.2,sensitivity,1.2117,1.8708,False
unsw_zero: enscal-512 vs naive-512,1.0,sensitivity,1.2117,1.8708,False
ton_zero: enscal-512 vs naive-512,0.5,primary,-0.6154,-0.1221,False
ton_zero: enscal-512 vs naive-512,0.2,sensitivity,-0.6154,-0.1221,False
ton_zero: enscal-512 vs naive-512,1.0,sensitivity,-0.6154,-0.1221,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.0344,0.0359,True
ps_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.0344,0.0359,True
ps_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.0344,0.0359,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2099,0.1302,True
unsw_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2099,0.1302,False
unsw_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2099,0.1302,True
ton_full: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.4422,-0.0857,True
ton_full: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.4422,-0.0857,False
ton_full: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.4422,-0.0857,True
ps_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.9823,-0.2279,False
ps_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.9823,-0.2279,False
ps_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.9823,-0.2279,True
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.4057,0.0508,True
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.4057,0.0508,False
unsw_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.4057,0.0508,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,0.0719,0.376,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,0.0719,0.376,False
ton_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,0.0719,0.376,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.1612,0.0872,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.1612,0.0872,True
ps_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.1612,0.0872,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.4021,0.0974,True
unsw_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.4021,0.0974,False
unsw_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.4021,0.0974,True
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.7745,0.0042,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.7745,0.0042,False
ton_full: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.7745,0.0042,True
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.8617,0.0805,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.8617,0.0805,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.8617,0.0805,True
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-1.4096,-0.6062,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-1.4096,-0.6062,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-1.4096,-0.6062,False
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.099,0.5294,False
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.099,0.5294,False
ton_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.099,0.5294,True
ps_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.1073,1.2237,False
ps_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.1073,1.2237,False
ps_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.1073,1.2237,False
unsw_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.3974,0.0286,True
unsw_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.3974,0.0286,False
unsw_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.3974,0.0286,True
ton_full: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.3453,-0.0245,True
ton_full: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.3453,-0.0245,False
ton_full: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.3453,-0.0245,True
ps_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.9083,-0.3211,False
ps_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.9083,-0.3211,False
ps_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.9083,-0.3211,True
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-1.4003,-0.7148,False
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-1.4003,-0.7148,False
unsw_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-1.4003,-0.7148,False
ton_zero: (atc-naive)@2000 - (atc-naive)@512,0.5,primary,-0.0716,0.5677,False
ton_zero: (atc-naive)@2000 - (atc-naive)@512,0.2,sensitivity,-0.0716,0.5677,False
ton_zero: (atc-naive)@2000 - (atc-naive)@512,1.0,sensitivity,-0.0716,0.5677,True
ps_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,0.2409,1.7099,False
ps_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,0.2409,1.7099,False
ps_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,0.2409,1.7099,False
unsw_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.3185,0.3617,True
unsw_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.3185,0.3617,False
unsw_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.3185,0.3617,True
ton_full: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.4464,-0.0177,True
ton_full: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.4464,-0.0177,False
ton_full: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.4464,-0.0177,True
ps_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-1.499,-0.5953,False
ps_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-1.499,-0.5953,False
ps_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-1.499,-0.5953,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-1.5643,-0.8812,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-1.5643,-0.8812,False
unsw_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-1.5643,-0.8812,False
ton_zero: (doc-naive)@2000 - (doc-naive)@512,0.5,primary,-0.0737,0.5719,False
ton_zero: (doc-naive)@2000 - (doc-naive)@512,0.2,sensitivity,-0.0737,0.5719,False
ton_zero: (doc-naive)@2000 - (doc-naive)@512,1.0,sensitivity,-0.0737,0.5719,True
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.094,0.712,False
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.094,0.712,False
ps_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.094,0.712,True
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.9521,-0.7154,False
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.9521,-0.7154,False
unsw_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.9521,-0.7154,True
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.3172,-0.1052,True
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.3172,-0.1052,False
ton_full: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.3172,-0.1052,True
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-0.7854,-0.0031,False
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-0.7854,-0.0031,False
ps_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-0.7854,-0.0031,True
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,-1.3034,-0.6654,False
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,-1.3034,-0.6654,False
unsw_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,-1.3034,-0.6654,False
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.5,primary,0.0352,0.6667,False
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,0.2,sensitivity,0.0352,0.6667,False
ton_zero: (enscal-naive)@2000 - (enscal-naive)@512,1.0,sensitivity,0.0352,0.6667,True
