scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,note
ps_zero,ps_zero: point-2000 vs naive-2000 (anchor),0.2414,0.1115,0.3966,0.1292,0.3698,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: strict-2000 vs naive-2000 (anchor),0.3896,0.2138,0.5747,0.2393,0.5424,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: naive-512 vs never,-1.6562,-2.3484,-0.8492,-2.251,-0.9865,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: point-512 vs naive-512,0.9526,0.5857,1.3758,0.6372,1.3034,"descriptive by amendment (anchor or secondary cell), uncorrected"
ps_zero,ps_zero: strict-512 vs naive-512,1.9638,1.512,2.4294,1.5846,2.3518,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: naive-2000 vs never,0.0724,0.0042,0.1359,0.0154,0.1263,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: point-2000 vs naive-2000 (anchor),0.0156,-0.0047,0.038,-0.0021,0.0344,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: strict-2000 vs naive-2000 (anchor),-0.0122,-0.0688,0.0479,-0.0602,0.0375,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: naive-512 vs never,-0.5802,-0.6883,-0.4711,-0.6711,-0.4885,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: point-512 vs naive-512,0.1409,0.0404,0.2487,0.0555,0.2305,"descriptive by amendment (anchor or secondary cell), uncorrected"
unsw_zero,unsw_zero: strict-512 vs naive-512,0.4021,0.2836,0.5284,0.3005,0.5065,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: naive-2000 vs never,0.0201,-0.0333,0.0826,-0.0255,0.0708,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: point-2000 vs naive-2000 (anchor),0.0076,0.0005,0.0193,0.001,0.0174,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: strict-2000 vs naive-2000 (anchor),-0.0302,-0.0906,0.0214,-0.0799,0.0141,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: naive-512 vs never,-0.3469,-0.5195,-0.1911,-0.4904,-0.2138,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: point-512 vs naive-512,0.1479,0.0208,0.2974,0.0383,0.2714,"descriptive by amendment (anchor or secondary cell), uncorrected"
ton_zero,ton_zero: strict-512 vs naive-512,0.2781,0.126,0.4414,0.1492,0.4138,"descriptive by amendment (anchor or secondary cell), uncorrected"
